Front,Back,Tags
"What is the INCOSE/ISO definition of System Life Cycle?","The evolution of a system over time encompassing all stages from conception through retirement — Concept, Development, Production, Utilisation, Support, and Retirement. (SEH5 Ch2; ISO 15288 §6.2)","CSEP Week02 LifeCycleConcepts"
"Name the six ISO/IEC/IEEE 15288 life cycle stages in order.","Concept → Development → Production → Utilisation → Support → Retirement","CSEP Week02 LifeCycleConcepts"
"Define: Life Cycle Stage","A defined period within the system life cycle characterised by a particular type of activity and bounded by decision gates. (ISO 15288 §6.2)","CSEP Week02 LifeCycleConcepts"
"What is the primary purpose of the Concept Stage?","To identify stakeholder needs, explore alternative concepts, and select a preferred solution concept for further development.","CSEP Week02 LifeCycleConcepts"
"What is the primary purpose of the Development Stage?","To refine system requirements, design and build the system, and verify and validate it against stakeholder needs.","CSEP Week02 LifeCycleConcepts"
"What is the primary purpose of the Production Stage?","To manufacture or construct system instances and verify their conformance to the approved system configuration.","CSEP Week02 LifeCycleConcepts"
"What is the primary purpose of the Utilisation Stage?","To operate the system in its intended environment to deliver the services for which it was designed.","CSEP Week02 LifeCycleConcepts"
"What is the primary purpose of the Support Stage?","To provide services that sustain the system's availability and capability throughout its operational life.","CSEP Week02 LifeCycleConcepts"
"What is the primary purpose of the Retirement Stage?","To take the system out of service safely — decommissioning, disposing of hazardous materials, and archiving documentation.","CSEP Week02 LifeCycleConcepts"
"Define: Decision Gate","A formal review point at the boundary between life cycle stages used to assess whether exit criteria have been met and to authorise (or deny) progression to the next stage. (SEH5 Ch2; ISO 15288 §6.2)","CSEP Week02 DecisionGates"
"What four outcomes can a decision gate produce?","(1) Proceed, (2) Conditional Proceed, (3) Return (to current or prior stage), (4) Terminate.","CSEP Week02 DecisionGates"
"Define: Exit Criteria","The set of conditions that must be satisfied before a system may progress from one life cycle stage to the next.","CSEP Week02 DecisionGates"
"What distinguishes a system life cycle from a project life cycle?","The system life cycle covers all stages from concept to retirement of the system itself; the project life cycle covers the timeline and milestones of the project that creates or evolves the system.","CSEP Week02 LifeCycleConcepts"
"What distinguishes a system life cycle from a product life cycle?","The system life cycle is an engineering/SE construct (ISO 15288); the product life cycle is a commercial/market construct (introduction → growth → maturity → decline).","CSEP Week02 LifeCycleConcepts"
"In which life cycle stage does the Concept of Operations (ConOps) first appear?","The Concept Stage — as a key artefact capturing how the system will be used in its operational environment.","CSEP Week02 LifeCycleConcepts"
"What is the System Requirements Review (SRR)?","A formal decision gate review verifying that system requirements have been adequately defined and are consistent with stakeholder needs — typically at the Concept/Development boundary.","CSEP Week02 DecisionGates"
"What is the Critical Design Review (CDR)?","A formal decision gate review assessing whether the detailed design is complete and ready to proceed to fabrication — typically held mid-Development stage.","CSEP Week02 DecisionGates"
"What is the Operational Readiness Review (ORR)?","A formal decision gate review confirming that the system and its operational support infrastructure are ready for transition to the Utilisation Stage.","CSEP Week02 DecisionGates"
"At which stage transition would you expect a Preliminary Design Review (PDR)?","Within the Development Stage, before detailed design begins — it reviews the system architecture and preliminary design for completeness and adequacy.","CSEP Week02 DecisionGates"
"True or false: ISO/IEC/IEEE 15288 mandates named reviews such as SRR and CDR.","False — ISO 15288 mandates the principle of decision gates with exit criteria; named reviews (SRR, PDR, CDR) are programme-specific implementations, not ISO requirements.","CSEP Week02 DecisionGates"
"In which stage is the largest share of SE resources typically applied?","The Development Stage — it encompasses requirements definition, design, build, and system-level V&V.","CSEP Week02 LifeCycleConcepts"
