Question,Answer,Topic,Difficulty
"What is the INCOSE/ISO definition of System Life Cycle?","The evolution of a system over time encompassing all stages from conception through retirement — Concept, Development, Production, Utilisation, Support, and Retirement. (SEH5 Ch2; ISO 15288 §6.2)","Life Cycle Definition & Purpose","Easy"
"Name the six ISO/IEC/IEEE 15288 life cycle stages in order.","Concept → Development → Production → Utilisation → Support → Retirement","Life Cycle Definition & Purpose","Easy"
"Define: Life Cycle Stage","A defined period within the system life cycle characterised by a particular type of activity and bounded by decision gates. (ISO 15288 §6.2)","Life Cycle Definition & Purpose","Easy"
"What is the primary purpose of the Concept Stage?","To identify stakeholder needs, explore alternative concepts, and select a preferred solution concept for further development.","Six Life Cycle Stages","Easy"
"What is the primary purpose of the Development Stage?","To refine system requirements, design and build the system, and verify and validate it against stakeholder needs.","Six Life Cycle Stages","Easy"
"What is the primary purpose of the Production Stage?","To manufacture or construct system instances and verify their conformance to the approved system configuration.","Six Life Cycle Stages","Easy"
"What is the primary purpose of the Utilisation Stage?","To operate the system in its intended environment to deliver the services for which it was designed.","Six Life Cycle Stages","Easy"
"What is the primary purpose of the Support Stage?","To provide services that sustain the system's availability and capability throughout its operational life.","Six Life Cycle Stages","Easy"
"What is the primary purpose of the Retirement Stage?","To take the system out of service safely — decommissioning, disposing of hazardous materials, and archiving documentation.","Six Life Cycle Stages","Easy"
"Define: Decision Gate","A formal review point at the boundary between life cycle stages used to assess whether exit criteria have been met and to authorise (or deny) progression to the next stage. (SEH5 Ch2; ISO 15288 §6.2)","Decision Gates","Easy"
"What four outcomes can a decision gate produce?","(1) Proceed, (2) Conditional Proceed, (3) Return (to current or prior stage), (4) Terminate.","Decision Gates","Medium"
"Define: Exit Criteria","The set of conditions that must be satisfied before a system may progress from one life cycle stage to the next.","Decision Gates","Easy"
"What distinguishes a system life cycle from a project life cycle?","The system life cycle covers all stages from concept to retirement of the system itself; the project life cycle covers the timeline and milestones of the project that creates or evolves the system.","Life Cycle Definition & Purpose","Medium"
"What distinguishes a system life cycle from a product life cycle?","The system life cycle is an engineering/SE construct (ISO 15288); the product life cycle is a commercial/market construct (introduction → growth → maturity → decline).","Life Cycle Definition & Purpose","Medium"
"In which life cycle stage does the Concept of Operations (ConOps) first appear?","The Concept Stage — as a key artefact capturing how the system will be used in its operational environment.","Six Life Cycle Stages","Medium"
"What is the System Requirements Review (SRR)?","A formal decision gate review verifying that system requirements have been adequately defined and are consistent with stakeholder needs — typically at the Concept/Development boundary.","Decision Gates","Easy"
"What is the Critical Design Review (CDR)?","A formal decision gate review assessing whether the detailed design is complete and ready to proceed to fabrication — typically held mid-Development stage.","Decision Gates","Easy"
"What is the Operational Readiness Review (ORR)?","A formal decision gate review confirming that the system and its operational support infrastructure are ready for transition to the Utilisation Stage.","Decision Gates","Easy"
"At which stage transition would you expect a Preliminary Design Review (PDR)?","Within the Development Stage, before detailed design begins — it reviews the system architecture and preliminary design for completeness and adequacy.","Decision Gates","Medium"
"True or false: ISO/IEC/IEEE 15288 mandates named reviews such as SRR and CDR.","False — ISO 15288 mandates the principle of decision gates with exit criteria; named reviews (SRR, PDR, CDR) are programme-specific implementations, not ISO requirements.","Decision Gates","Hard"
"In which stage is the largest share of SE resources typically applied?","The Development Stage — it encompasses requirements definition, design, build, and system-level V&V.","Six Life Cycle Stages","Medium"
"Why is the Retirement Stage often neglected in planning?","It is distant and speculative at project start; consequences include unplanned disposal costs, hazardous material issues, and loss of system knowledge.","Six Life Cycle Stages","Medium"
"Which life cycle stage has the most acquirer influence over system design?","The Concept Stage — stakeholder needs and constraints are defined before design commitments are made.","Six Life Cycle Stages","Medium"
"Testing occurs in which life cycle stages, and for what purpose in each?","Development Stage: verification of the design; Production Stage: conformance testing against the approved configuration.","Six Life Cycle Stages","Hard"
"What does conditional proceed mean at a decision gate?","The programme is authorised to proceed to the next stage, but with defined open items that must be resolved within an agreed timeframe.","Decision Gates","Medium"
"Name two artefacts typically produced during the Concept Stage.","Concept of Operations (ConOps) and Stakeholder Needs Statement (or Mission Concept document).","Six Life Cycle Stages","Medium"
"What is a Stage Transition Review?","A formal review conducted at a decision gate to assess whether exit criteria for the current stage have been met and to authorise stage transition. (ISO 15288 §6.2)","Decision Gates","Easy"
"What types of maintenance are performed in the Support Stage?","Corrective maintenance (fixing failures), preventive maintenance (scheduled servicing), and adaptive maintenance (modifications for changed operational needs).","Six Life Cycle Stages","Medium"
"Define: Life Cycle Model","A framework that identifies and describes the stages, decision gates, and overall approach used to manage a system's life cycle. (SEH5 Ch2)","Life Cycle Models","Easy"
"Define: Sequential Life Cycle Model","A model in which life cycle stages are executed in order, with each stage substantially completed before the next begins. Appropriate when requirements are stable and technology mature.","Life Cycle Models","Easy"
