Front,Back,Tags
"State the ISO/IEC/IEEE 15288 §6.4.1 purpose of the Business or Mission Analysis (BMA) process.","To define the business or mission problem or opportunity, characterise the solution space, and determine potential solution class(es) that could address the problem. (ISO 15288 §6.4.1)","CSEP Week03 BMA-SNRD"
"Where does BMA sit among the fourteen ISO 15288 Technical Processes?","BMA is the first Technical Process. It precedes Stakeholder Needs and Requirements Definition (§6.4.2), which precedes System Requirements Definition (§6.4.3).","CSEP Week03 BMA-SNRD"
"Name three typical inputs to the BMA process.","Organisational strategy / mission statement; market or mission analysis; enterprise architecture or portfolio decisions; prior system performance data; regulatory or policy constraints. (Any three.)","CSEP Week03 BMA-SNRD"
"Name three typical outputs of the BMA process.","Validated problem/opportunity statement; preliminary stakeholder list; preliminary life cycle concepts; candidate solution classes; preliminary ConOps. (Any three.)","CSEP Week03 BMA-SNRD"
"Why does BMA precede Stakeholder Needs and Requirements Definition?","BMA defines the problem space — what problem is being solved, for whom, and with what solution classes — before stakeholder requirements are written against that problem. Without BMA, stakeholder requirements are written against an unvalidated problem.","CSEP Week03 BMA-SNRD"
"List the five typical activity clusters of the BMA process.","(1) Prepare for BMA; (2) Define the problem or opportunity space; (3) Characterise the solution space; (4) Evaluate alternative solution classes; (5) Manage the BMA results. (ISO 15288 §6.4.1)","CSEP Week03 BMA-SNRD"
"Define: Problem Statement (BMA context)","A formal articulation of the gap, need, or opportunity that the system is intended to address. (SEH5 Ch3)","CSEP Week03 BMA-SNRD"
"Define: Solution Space","The set of feasible solution classes — conceptual approaches — that could address the business/mission problem identified during BMA. (SEH5 Ch3)","CSEP Week03 BMA-SNRD"
"Define: Solution Class","A family of conceptual approaches sharing common characteristics that could address the identified problem (e.g., ""airborne surveillance"" vs ""satellite constellation"" vs ""ground-based radar""). (SEH5 Ch3)","CSEP Week03 BMA-SNRD"
"Define: Preliminary Life Cycle Concept","An early description of how the envisaged system will be acquired, developed, operated, supported, and retired — iteratively refined. (SEH5 Ch3)","CSEP Week03 BMA-SNRD"
"Define: Concept of Operations (ConOps)","An acquirer/user-oriented description of how the envisaged system will be operated in its intended environment — mission, users, operations, scenarios, constraints. (ISO 29148 §4.2; SEH5 Ch3)","CSEP Week03 BMA-SNRD"
"Define: Operational Concept (OpsCon)","A supplier/system-developer-oriented operational description derived from the ConOps, describing how the system itself behaves to support operations. (ISO 29148 §4.3)","CSEP Week03 BMA-SNRD"
"What is the difference between a ConOps and an OpsCon, and who typically writes each?","ConOps is acquirer-oriented (written by or with the acquirer, describing user-facing mission use); OpsCon is supplier-oriented (written by the system developer, describing how the system supports the ConOps). Different perspectives, different audiences.","CSEP Week03 BMA-SNRD"
"Define: Capability Gap","The difference between the current capability (what the enterprise can do today) and the required capability (what it needs to do). Supports BMA by identifying the problem to solve. (SEH5 Ch3)","CSEP Week03 BMA-SNRD"
"What role does a trade study play in BMA?","Trade studies compare alternative solution classes against weighted criteria (cost, schedule, risk, mission effectiveness, feasibility) to support the BMA decision on which class(es) to progress. (SEH5 Ch3 and Ch4)","CSEP Week03 BMA-SNRD"
"Name three common BMA pitfalls.","(1) Solution-first thinking — jumping to a favoured solution before defining the problem; (2) missing stakeholders (especially regulators, maintainers, society); (3) skipping validation of the mission need, treating it as fixed.","CSEP Week03 BMA-SNRD"
"Is BMA a one-off activity or iterative?","Iterative. Initial passes may be shallow — sufficient to authorise investment — with successive passes becoming more rigorous as the programme commits to a solution class. (SEH5 Ch3)","CSEP Week03 BMA-SNRD"
"State the ISO/IEC/IEEE 15288 §6.4.2 purpose of the Stakeholder Needs and Requirements Definition (SN&RD) process.","To define the stakeholder requirements for a system that can provide the capabilities needed by users and other stakeholders in a defined environment. (ISO 15288 §6.4.2)","CSEP Week03 BMA-SNRD"
"Define: Stakeholder","An individual or organisation having a right, share, claim, or interest in a system or in its possession of characteristics that meet their needs and expectations. (ISO 15288 §3)","CSEP Week03 BMA-SNRD"
"Name six categories of stakeholder typically considered in SN&RD.","Users, operators, maintainers, acquirers, suppliers, regulators, society/environment, enabling-system owners. (Any six.)","CSEP Week03 BMA-SNRD"
